,Prduct_url,title_name,best_price,Vehicle type:,Usage:,Manufacturer:,Width:,Height:,Construction:,Diameter:,Load index:,Speed index:,EAN:,EU tyre label:,Customer reviews:,Runflat:
0,https://www.tyres-online.in/hankook-ventus-s1-evo-2-k117-225-50-zr17-94w--4423704,Hankook Ventus S1 Evo 2 K117 225/50 ZR17 94W,['11500.0'],Car,Summer,Hankook,225,50,ZR,17,94,W,8808563330365,C,,
1,https://www.tyres-online.in/continental-contiecocontact-5-205-55-r16-91v--6647841,Continental CONTIECOCONTACT 5 205/55 R16 91V,['11000.0'],Car,Summer,Continental,205,55,R,16,91,V,4019238525984,B,B,
2,https://www.tyres-online.in/pirelli-p-zero-245-50-zr18-100y--8483003,Pirelli P ZERO 245/50 ZR18 100Y,['19000.0'],Car,Summer,Pirelli,245,50,ZR,18,100,Y,8019227231571,A,D,
3,https://www.tyres-online.in/goodyear-excellence-rof-225-55-r17-97y--4223024,Goodyear Excellence ROF 225/55 R17 97Y,['14500.0'],Car,Summer,Goodyear,225,55,R,17,97,Y,5452000651723,B,D,Runflat
4,https://www.tyres-online.in/continental-contiecocontact-5-ssr-225-55-r16-95v--14774527,Continental ContiEcoContact 5 SSR 225/55 R16 95V,['15500.0'],Car,Summer,Continental,225,55,R,16,95,V,4019238588613,C,,Runflat
5,https://www.tyres-online.in/pirelli-p-zero-255-45-r19-100y--15233199,Pirelli P ZERO 255/45 R19 100Y,['26000.0'],Car,Summer,Pirelli,255,45,R,19,100,Y,8019227212556,B,D,
6,https://www.tyres-online.in/continental-contipremiumcontact-5-205-55-r16-91w--12939502,Continental CONTIPREMIUMCONTACT 5 205/55 R16 91W,['11500.0'],Car,Summer,Continental,205,55,R,16,91,W,4019238526097,B,C,
7,https://www.tyres-online.in/pirelli-p-zero-265-40-r20-104y--15626462,Pirelli P ZERO 265/40 R20 104Y,['31000.0'],Car,Summer,Pirelli,265,40,R,20,104,Y,8019227184938,B,C,
8,https://www.tyres-online.in/continental-contisportcontact-3-e-ssr-275-40-r18-99y--5341368,Continental ContiSportContact 3 E SSR 275/40 R18 99Y,['23500.0'],Car,Summer,Continental,275,40,R,18,99,Y,4019238779073,C,F,Runflat
9,https://www.tyres-online.in/yokohama-c.-drive-2-ac02a-205-55-r16-91h--15954097,Yokohama c. drive 2 AC02A 205/55 R16 91H,['7000.0'],Car,Summer,Yokohama,205,55,R,16,91,H,4968814784355,C,C,
10,https://www.tyres-online.in/bridgestone-potenza-s001-245-45-r17-95w--4685894,Bridgestone Potenza S001 245/45 R17 95W,['50000.0'],Car,Summer,Bridgestone,245,45,R,17,95,W,3286340640916,D,,
11,https://www.tyres-online.in/bridgestone-turanza-er-300-rft-205-55-r16-91v--291070,Bridgestone Turanza ER 300 RFT 205/55 R16 91V,['10000.0'],Car,Summer,Bridgestone,205,55,R,16,91,V,3286340643115,B,F,Runflat
12,https://www.tyres-online.in/goodyear-eagle-f1-asymmetric-2-rof-275-35-r20-102y--225340,Goodyear Eagle F1 Asymmetric 2 ROF 275/35 R20 102Y,['34500.0'],Car,Summer,Goodyear,275,35,R,20,102,Y,5452000661944,A,C,Runflat
13,https://www.tyres-online.in/pirelli-p-zero-265-35-zr20-95y--12152879,Pirelli P ZERO 265/35 ZR20 95Y,['33000.0'],Car,Summer,Pirelli,265,35,ZR,20,95,Y,8019227192896,A,E,
14,https://www.tyres-online.in/pirelli-p-zero-275-35-zr20-102y--4681926,Pirelli P ZERO 275/35 ZR20 102Y,['30000.0'],Car,Summer,Pirelli,275,35,ZR,20,102,Y,8019227172072,A,E,
15,https://www.tyres-online.in/michelin-primacy-3-zp-225-50-r17-94w--1933384,Michelin Primacy 3 ZP 225/50 R17 94W,['26500.0'],Car,Summer,Michelin,225,50,R,17,94,W,3528707219077,A,C,Runflat
16,https://www.tyres-online.in/dunlop-sport-maxx-rt-225-45-r17-91y--13926470,Dunlop Sport Maxx RT 225/45 R17 91Y,['11500.0'],Car,Summer,Dunlop,225,45,R,17,91,Y,5452000458445,B,C,
17,https://www.tyres-online.in/bridgestone-potenza-s001-ext-245-45-r19-102y--5533756,Bridgestone Potenza S001 EXT 245/45 R19 102Y,['34500.0'],Car,Summer,Bridgestone,245,45,R,19,102,Y,3286340583213,B,C,Runflat
18,https://www.tyres-online.in/dunlop-sp-sport-maxx-gt-255-35-r18-94y--946188,Dunlop SP Sport Maxx GT 255/35 R18 94Y,['18500.0'],Car,Summer,Dunlop,255,35,R,18,94,Y,4038526308696,B,D,
19,https://www.tyres-online.in/continental-contisportcontact-5-ssr-225-50-r18-95w--6058044,Continental ContiSportContact 5 SSR 225/50 R18 95W,['19000.0'],Car,Summer,Continental,225,50,R,18,95,W,4019238538342,B,D,Runflat
20,https://www.tyres-online.in/michelin-primacy-3-zp-245-50-r18-100w--884951,Michelin Primacy 3 ZP 245/50 R18 100W,['26500.0'],Car,Summer,Michelin,245,50,R,18,100,W,3528702871249,A,C,Runflat
21,https://www.tyres-online.in/michelin-primacy-hp-225-55-r16-95w--13201547,Michelin Primacy HP 225/55 R16 95W,['10500.0'],Car,Summer,Michelin,225,55,R,16,95,W,3528703701644,B,E,
22,https://www.tyres-online.in/bridgestone-turanza-er-300-245-45-r18-100y--9535574,Bridgestone Turanza ER 300 245/45 R18 100Y,['25500.0'],Car,Summer,Bridgestone,245,45,R,18,100,Y,3286340729710,C,C,
23,https://www.tyres-online.in/bridgestone-potenza-re-050-rft-225-50-r17-94w--5070890,Bridgestone Potenza RE 050 RFT 225/50 R17 94W,['16500.0'],Car,Summer,Bridgestone,225,50,R,17,94,W,3286347754616,C,F,Runflat
24,https://www.tyres-online.in/pirelli-p-zero-305-30-zr20-103y--618543,Pirelli P ZERO 305/30 ZR20 103Y,['37500.0'],Car,Summer,Pirelli,305,30,ZR,20,103,Y,8019227205954,A,D,
25,https://www.tyres-online.in/continental-contisportcontact-5-225-45-r17-91w--14835872,Continental ContiSportContact 5 225/45 R17 91W,['11500.0'],Car,Summer,Continental,225,45,R,17,91,W,4019238456226,B,C,
26,https://www.tyres-online.in/pirelli-p-zero-pz4-sc-235-35-zr20-88y--2195501,Pirelli P Zero PZ4 SC 235/35 ZR20 88Y,['33000.0'],Car,Summer,Pirelli,235,35,ZR,20,88,Y,8019227250176,A,D,
27,https://www.tyres-online.in/continental-contisportcontact-5-225-50-r17-94y--9470072,Continental ContiSportContact 5 225/50 R17 94Y,['15500.0'],Car,Summer,Continental,225,50,R,17,94,Y,4019238762297,A,C,
28,https://www.tyres-online.in/bridgestone-potenza-re-050-a-rft-255-40-r17-94v--9404621,Bridgestone Potenza RE 050 A RFT 255/40 R17 94V,['18500.0'],Car,Summer,Bridgestone,255,40,R,17,94,V,3286340512213,B,E,Runflat
29,https://www.tyres-online.in/dunlop-sp-sport-maxx-gt-245-45-zr19-102y--8744986,Dunlop SP Sport Maxx GT 245/45 ZR19 102Y,['26500.0'],Car,Summer,Dunlop,245,45,ZR,19,102,Y,3188649805709,B,F,
30,https://www.tyres-online.in/pirelli-p-zero-235-55-r18-104y--3567832,Pirelli P ZERO 235/55 R18 104Y,['24000.0'],Car,Summer,Pirelli,235,55,R,18,104,Y,8019227206555,B,C,
